Date;Price
16/09/2019;38161
13/09/2019;37517
12/09/2019;37747
11/09/2019;37965
10/09/2019;38248
09/09/2019;38459
06/09/2019;38551
05/09/2019;38504
04/09/2019;39337
03/09/2019;39314
02/09/2019;38708
30/08/2019;38300
29/08/2019;38426
28/08/2019;38772
27/08/2019;38644
26/08/2019;38415
23/08/2019;38357
22/08/2019;37779
21/08/2019;37598
20/08/2019;37640
19/08/2019;37484
16/08/2019;37487
14/08/2019;37688
13/08/2019;37268
12/08/2019;37812
09/08/2019;37558
08/08/2019;37311
07/08/2019;37899
06/08/2019;37182
05/08/2019;36711
